ID;Project;Pull Number;Pull Request Link;Pull Request Title;Is Merged?;Has a Challenge/BadPractice?;Is CPS-Specific?;Bad Practice;Challenge/Barrier;Mitigation;Restructuring
319;PX4/PX4-Autopilot;10854;https://github.com/PX4/PX4-Autopilot/pull/10854;Appveyor Switch build cache to the entire PX4 folder;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
320;PX4/PX4-Autopilot;10689;https://github.com/PX4/PX4-Autopilot/pull/10689;jenkins clang tidy retry;TRUE;YES;NO;Culture_Changes are pulled before fixing a previous build failure;;;
321;PX4/PX4-Autopilot;10144;https://github.com/PX4/PX4-Autopilot/pull/10144;jenkins split main pipeline;TRUE;YES;NO;Build Process Definition_Monolithic builds (i.e., builds not decomposed into specific, cohesive jobs, when this is appropriate) are used in the pipeline;;;Maintainability_Split build scripts/jobs
321;PX4/PX4-Autopilot;10144;https://github.com/PX4/PX4-Autopilot/pull/10144;jenkins split main pipeline;TRUE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
322;PX4/PX4-Autopilot;2149;https://github.com/PX4/PX4-Autopilot/pull/2149;always recompile sdlog2 and ver command to keep GIT_DESC current;FALSE;NO;;;;;
323;PX4/PX4-Autopilot;2711;https://github.com/PX4/PX4-Autopilot/pull/2711;Enable ms5611 driver and fix build errors;FALSE;NO;;;;;
324;PX4/PX4-Autopilot;2885;https://github.com/PX4/PX4-Autopilot/pull/2885;simulator add publishing of HIL_OPTICAL_FLOW as uORB topic;FALSE;NO;;;;;
325;PX4/PX4-Autopilot;3062;https://github.com/PX4/PX4-Autopilot/pull/3062;Switched Vagrant to use static IP;FALSE;NO;;;;;
326;PX4/PX4-Autopilot;3170;https://github.com/PX4/PX4-Autopilot/pull/3170;Remove CONFIG_ARCH_BOARD ifdef dependencies from mtd;FALSE;YES;YES;;Barriers_Domain_Complex Non Functional Requirements;;
327;PX4/PX4-Autopilot;3527;https://github.com/PX4/PX4-Autopilot/pull/3527;Raspberry Pi buildsystem config;FALSE;NO;;;;;
328;PX4/PX4-Autopilot;3703;https://github.com/PX4/PX4-Autopilot/pull/3703;add Safety switch handling to fmuv4;FALSE;NO;;;;;
329;PX4/PX4-Autopilot;4458;https://github.com/PX4/PX4-Autopilot/pull/4458;cmake nuttx copy with rsync;FALSE;YES;NO;Builld Initialization_Inappropriate build environment clean-up strategy (i.e., whether to (not) use incremental builds);;;Build Policy_Modify the triggering strategy
330;PX4/PX4-Autopilot;4709;https://github.com/PX4/PX4-Autopilot/pull/4709;Cut down verbosity;FALSE;NO;;;;;
331;PX4/PX4-Autopilot;4925;https://github.com/PX4/PX4-Autopilot/pull/4925;SITL mission tests via MAVROS;FALSE;NO;;;;;
332;PX4/PX4-Autopilot;5384;https://github.com/PX4/PX4-Autopilot/pull/5384;Only compile the Messages specified in msg CMakeLists txt;FALSE;NO;;;;;
333;PX4/PX4-Autopilot;5492;https://github.com/PX4/PX4-Autopilot/pull/5492;add HIL_STATE message handler and publish to uORB;FALSE;NO;;;;;
334;PX4/PX4-Autopilot;6166;https://github.com/PX4/PX4-Autopilot/pull/6166;Simulation fixes for fleet mostly VTOL;FALSE;YES;YES;;Simulators_Functional Correctness;Resources_Evolve simulator;
335;PX4/PX4-Autopilot;6413;https://github.com/PX4/PX4-Autopilot/pull/6413;Onboard Temperature Calibration WIP;FALSE;NO;;;;;
336;PX4/PX4-Autopilot;6908;https://github.com/PX4/PX4-Autopilot/pull/6908;Critical Fixes Snapdragon Flight parameter synchronization problem;FALSE;NO;;;;;
337;PX4/PX4-Autopilot;7454;https://github.com/PX4/PX4-Autopilot/pull/7454;Enable Simulation of the Hippocampus AUV from TUHH;FALSE;NO;;;;;
338;PX4/PX4-Autopilot;8015;https://github.com/PX4/PX4-Autopilot/pull/8015;Move gyro calibration from commander to events;FALSE;NO;;;;;
339;PX4/PX4-Autopilot;8688;https://github.com/PX4/PX4-Autopilot/pull/8688;circleci OSX builds use ninja;FALSE;YES;NO;Build Execution_Pipeline steps/stages are skipped arbitrarily;;;
340;PX4/PX4-Autopilot;4170;https://github.com/PX4/PX4-Autopilot/pull/4170;Support for running multiple SITL instances;FALSE;NO;;;;;
341;PX4/PX4-Autopilot;8731;https://github.com/PX4/PX4-Autopilot/pull/8731;WIP High rate IMU sampling;FALSE;NO;;;;;
342;PX4/PX4-Autopilot;8738;https://github.com/PX4/PX4-Autopilot/pull/8738;SITL_configs by default disable datalink and RC failsafes;FALSE;YES;YES;;Simulators_Interacting environment;;
342;PX4/PX4-Autopilot;8738;https://github.com/PX4/PX4-Autopilot/pull/8738;SITL_configs by default disable datalink and RC failsafes;FALSE;YES;YES;;Flaky Behaviour_Lack of control over resources;;
343;PX4/PX4-Autopilot;9493;https://github.com/PX4/PX4-Autopilot/pull/9493;snapdragon cmake fixes;FALSE;NO;;;;;
344;PX4/PX4-Autopilot;10166;https://github.com/PX4/PX4-Autopilot/pull/10166;cmake toolchain don t specify both mcpu and march;FALSE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;
345;PX4/PX4-Autopilot;10447;https://github.com/PX4/PX4-Autopilot/pull/10447;jmavsim_run sh fix issue with Java 10;FALSE;NO;;;;;
346;PX4/PX4-Autopilot;10931;https://github.com/PX4/PX4-Autopilot/pull/10931;adding avioneo s airframe geometry VTOL Penta Tiltwings;FALSE;NO;;;;;
347;PX4/PX4-Autopilot;11039;https://github.com/PX4/PX4-Autopilot/pull/11039;mavlink fix uninitialized messages fields;FALSE;NO;;;;;
348;PX4/PX4-Autopilot;11025;https://github.com/PX4/PX4-Autopilot/pull/11025;fix for HIL;FALSE;NO;;;;;
349;PX4/PX4-Autopilot;8321;https://github.com/PX4/PX4-Autopilot/pull/8321;WIP Jenkins basic support for hardware testing;FALSE;NO;;;;;
350;PX4/PX4-Autopilot;9167;https://github.com/PX4/PX4-Autopilot/pull/9167;Enable mavlink forwarding in SITL for all FW VTOL;FALSE;NO;;;;;
351;PX4/PX4-Autopilot;9631;https://github.com/PX4/PX4-Autopilot/pull/9631;WIP Jenkins codecov io for ecl and matrix;FALSE;NO;;;;;
352;PX4/PX4-Autopilot;9692;https://github.com/PX4/PX4-Autopilot/pull/9692;WIP jenkins multiple pipelines;FALSE;YES;NO;Build Process Definition_Monolithic builds (i.e., builds not decomposed into specific, cohesive jobs, when this is appropriate) are used in the pipeline;;;Maintainability_Split build scripts/jobs
352;PX4/PX4-Autopilot;9692;https://github.com/PX4/PX4-Autopilot/pull/9692;WIP jenkins multiple pipelines;FALSE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
353;PX4/PX4-Autopilot;6396;https://github.com/PX4/PX4-Autopilot/pull/6396;Events interface;FALSE;NO;;;;;
354;PX4/PX4-Autopilot;10998;https://github.com/PX4/PX4-Autopilot/pull/10998;Collision prevention with distance_sensor data;FALSE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
355;PX4/PX4-Autopilot;11294;https://github.com/PX4/PX4-Autopilot/pull/11294;Jenkins allow test to specify docker image with default;FALSE;NO;;;;;
356;PX4/PX4-Autopilot;13753;https://github.com/PX4/PX4-Autopilot/pull/13753;New cross platform PCA9685 driver;FALSE;NO;;;;;
357;PX4/PX4-Autopilot;14196;https://github.com/PX4/PX4-Autopilot/pull/14196;sitl_gazebo update submodule;FALSE;NO;;;;;
358;PX4/PX4-Autopilot;14156;https://github.com/PX4/PX4-Autopilot/pull/14156;RFC Board config SPI I2C config simplifications;FALSE;YES;YES;;HIL_Interface with HIL;;
359;PX4/PX4-Autopilot;13584;https://github.com/PX4/PX4-Autopilot/pull/13584;move GPS aggregation and blending to sensors;FALSE;NO;;;;;
360;PX4/PX4-Autopilot;15119;https://github.com/PX4/PX4-Autopilot/pull/15119;fixing sitl bug;FALSE;NO;;;;;
361;PX4/PX4-Autopilot;15465;https://github.com/PX4/PX4-Autopilot/pull/15465;Fix STM32H7 bootloader upgrade process judgment error;FALSE;NO;;;;;
362;PX4/PX4-Autopilot;15059;https://github.com/PX4/PX4-Autopilot/pull/15059;RFC online mag calibration using UKF;FALSE;NO;;;;;
363;PX4/PX4-Autopilot;14497;https://github.com/PX4/PX4-Autopilot/pull/14497;Add SITL target for starting airsim;FALSE;YES;YES;;Simulators_Integration issues with the CPS;;
364;PX4/PX4-Autopilot;16780;https://github.com/PX4/PX4-Autopilot/pull/16780;RC input selection;FALSE;YES;YES;;Throroughness_Phases_Automated HIL testing impossible dues to too many different real devices;;
365;PX4/PX4-SITL_gazebo;36;https://github.com/PX4/PX4-SITL_gazebo/pull/36;General Improvements to Gazebo SITL plugins;TRUE;NO;;;;;
366;PX4/PX4-SITL_gazebo;77;https://github.com/PX4/PX4-SITL_gazebo/pull/77;update submodule Optical flow fixed cmake policy warning;TRUE;YES;YES;;Simulators_Functional Correctness;;
367;PX4/PX4-SITL_gazebo;106;https://github.com/PX4/PX4-SITL_gazebo/pull/106;Enable Simulation of the Hippocampus AUV from TUHH;TRUE;NO;;;;;
368;PX4/PX4-SITL_gazebo;143;https://github.com/PX4/PX4-SITL_gazebo/pull/143;build add FindMAVLink cmake module and enhance Mavlink dir search;TRUE;NO;;;;;
369;PX4/PX4-SITL_gazebo;136;https://github.com/PX4/PX4-SITL_gazebo/pull/136;initial travis ci configuration;TRUE;YES;NO;Build Dependencies Management;;;Build Policy_Change the dependencies' installation policy
370;PX4/PX4-SITL_gazebo;185;https://github.com/PX4/PX4-SITL_gazebo/pull/185;Let travis fail on error and fix build;TRUE;YES;NO;Build Outcome_A build is succeeded when a task is failed or an error is thrown;;;Build Policy_Change how the build outcome is determined
371;PX4/PX4-SITL_gazebo;200;https://github.com/PX4/PX4-SITL_gazebo/pull/200;Update sitl_gazebo to allow use in a catkin workspace;TRUE;NO;;;;;
372;PX4/PX4-SITL_gazebo;203;https://github.com/PX4/PX4-SITL_gazebo/pull/203;plugins vision use complete visual odometry msg to send to the FCU;TRUE;NO;;;;;
373;PX4/PX4-SITL_gazebo;220;https://github.com/PX4/PX4-SITL_gazebo/pull/220;travis use catkin build tools;TRUE;NO;;;;;
374;PX4/PX4-SITL_gazebo;243;https://github.com/PX4/PX4-SITL_gazebo/pull/243;Set CMAKE_CXX_STANDARD so cmake does not duplicate std setting;TRUE;NO;;;;;
375;PX4/PX4-SITL_gazebo;311;https://github.com/PX4/PX4-SITL_gazebo/pull/311;Fix macOS CI;TRUE;NO;;;;;
376;PX4/PX4-SITL_gazebo;351;https://github.com/PX4/PX4-SITL_gazebo/pull/351;Update CI container tags;TRUE;NO;;;;;
377;PX4/PX4-SITL_gazebo;395;https://github.com/PX4/PX4-SITL_gazebo/pull/395;Build only look for Python3 if not building with Catkin;TRUE;NO;;;;;
378;PX4/PX4-SITL_gazebo;393;https://github.com/PX4/PX4-SITL_gazebo/pull/393;Catapult plugin for simulating catapult handlaunching fixed wing;TRUE;NO;;;;;
379;PX4/PX4-SITL_gazebo;412;https://github.com/PX4/PX4-SITL_gazebo/pull/412;travis remove unnecessary failing pip checks;TRUE;YES;NO;Build Duration_Unneeded tasks are scheduled in the build process;;;Performance_Remove Unneeded environments/scripts/tasks
380;PX4/PX4-SITL_gazebo;502;https://github.com/PX4/PX4-SITL_gazebo/pull/502;Travis CI add pipelines to build and test with Gazebo 11 over Ubuntu 20 04;TRUE;NO;;;;;
381;PX4/PX4-SITL_gazebo;528;https://github.com/PX4/PX4-SITL_gazebo/pull/528;range sensors lidar add simple signal quality model and propagate it to Mavlink;TRUE;NO;;;;;
382;PX4/PX4-SITL_gazebo;570;https://github.com/PX4/PX4-SITL_gazebo/pull/570;Move testing to github actions from travis;TRUE;NO;;;;;
383;PX4/PX4-SITL_gazebo;576;https://github.com/PX4/PX4-SITL_gazebo/pull/576;Run on separate sitl configs with firmware;TRUE;YES;YES;;Flaky Behaviour_Lack of control over resources;Flakiness_Adjust Pipeline Configuration;
384;PX4/PX4-SITL_gazebo;574;https://github.com/PX4/PX4-SITL_gazebo/pull/574;Fix SITL tests failing on master;TRUE;YES;NO;Build Outcome_A build is succeeded when a task is failed or an error is thrown;;;Maintainability_Replace tools/methods for accomplishing a specific task
385;PX4/PX4-SITL_gazebo;630;https://github.com/PX4/PX4-SITL_gazebo/pull/630;cmake support ccache explicitly;TRUE;NO;;;;;
386;PX4/PX4-SITL_gazebo;663;https://github.com/PX4/PX4-SITL_gazebo/pull/663;Add macos build tests for Big Sur;TRUE;NO;;;;;
387;PX4/PX4-SITL_gazebo;731;https://github.com/PX4/PX4-SITL_gazebo/pull/731;Multiple airspeed sensors in SITL with multi HIL_SENSOR instances;TRUE;NO;;;;;
388;PX4/PX4-SITL_gazebo;146;https://github.com/PX4/PX4-SITL_gazebo/pull/146;HIL integration for Gazebo;FALSE;NO;;;;;
389;PX4/PX4-SITL_gazebo;240;https://github.com/PX4/PX4-SITL_gazebo/pull/240;Feature add ROS NavSatFix and PoseWithCovarianceStamped topic publishers;FALSE;NO;;;;;
390;PX4/PX4-SITL_gazebo;357;https://github.com/PX4/PX4-SITL_gazebo/pull/357;Support SITL simulation for boat with usv_gazebo plugin;FALSE;NO;;;;;
391;PX4/PX4-SITL_gazebo;473;https://github.com/PX4/PX4-SITL_gazebo/pull/473;Fix CI breaking on macOS;FALSE;YES;NO;Builld Initialization_Inappropriate build environment clean-up strategy (i.e., whether to (not) use incremental builds);;;Performance_Change Caching configuration
391;PX4/PX4-SITL_gazebo;473;https://github.com/PX4/PX4-SITL_gazebo/pull/473;Fix CI breaking on macOS;FALSE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
392;PX4/PX4-SITL_gazebo;547;https://github.com/PX4/PX4-SITL_gazebo/pull/547;Add firmware build test;FALSE;NO;;;;;
393;PX4/PX4-SITL_gazebo;578;https://github.com/PX4/PX4-SITL_gazebo/pull/578;Placeholder Run on separate sitl configs with firmware 577;FALSE;NO;;;;;
394;PX4/PX4-SITL_gazebo;505;https://github.com/PX4/PX4-SITL_gazebo/pull/505;Travis CI add MacOS Catalina build stage;FALSE;NO;;;;;
395;PX4/PX4-SITL_gazebo;589;https://github.com/PX4/PX4-SITL_gazebo/pull/589;Fix tiltrotor model and add to SITL testing;FALSE;NO;;;;;
396;PX4/PX4-SITL_gazebo;749;https://github.com/PX4/PX4-SITL_gazebo/pull/749;Add gazebo dual rotor tailsitter;FALSE;NO;;;;;
397;linux-can/can-utils;97;https://github.com/linux-can/can-utils/pull/97;CI treat gcc warnings as errors;TRUE;YES;NO;Build Outcome_A build is succeeded when a task is failed or an error is thrown;;;Build Policy_Change how the build outcome is determined
398;linux-can/can-utils;254;https://github.com/linux-can/can-utils/pull/254;can utils import PTX cansequence utility;TRUE;NO;;;;;
399;linux-can/can-utils;325;https://github.com/linux-can/can-utils/pull/325;mcp251xfd add missing libgen h header;TRUE;NO;;;;;
400;linux-can/can-utils;243;https://github.com/linux-can/can-utils/pull/243;travis add archs to build matrix;FALSE;NO;;;;;
401;linux-can/can-utils;320;https://github.com/linux-can/can-utils/pull/320;Create codeql analysis yml;FALSE;NO;;;;;
402;ArduPilot/apm_planner;1046;https://github.com/ArduPilot/apm_planner/pull/1046;Vagrant add vagrant file;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
403;ArduPilot/apm_planner;1070;https://github.com/ArduPilot/apm_planner/pull/1070;Avoid downloading deprecated apm pdef xml;TRUE;YES;NO;Build Dependencies Management_Including unneeded dependencies;;;Performance_Remove Unneeded environments/scripts/tasks
404;ArduPilot/apm_planner;1135;https://github.com/ArduPilot/apm_planner/pull/1135;Build Fedora 26 build scripts and spec files;TRUE;NO;;;;;
405;ArduPilot/apm_planner;1191;https://github.com/ArduPilot/apm_planner/pull/1191;Adjust for ardupilot s move to https;TRUE;NO;;;;;
406;ArduPilot/apm_planner;1192;https://github.com/ArduPilot/apm_planner/pull/1192;Vagrantfile move to xenial64 write scripts for compilation;TRUE;NO;;;;;
407;ArduPilot/apm_planner;10;https://github.com/ArduPilot/apm_planner/pull/10;Bugfix missing updates PrimaryFlightDisplay now connecting to UASCreated and UASDeleted signals;FALSE;NO;;;;;
408;ArduPilot/apm_planner;94;https://github.com/ArduPilot/apm_planner/pull/94;qmake install now working under Linux;FALSE;NO;;;;;
409;ArduPilot/apm_planner;171;https://github.com/ArduPilot/apm_planner/pull/171;Linux Forced usage of libudev for serial ports Also minor build fixes;FALSE;YES;YES;;HIL_Interface with HIL;Resources_Change HiL configuration;
410;ArduPilot/apm_planner;588;https://github.com/ArduPilot/apm_planner/pull/588;Spec file and scripts to build RPM;FALSE;NO;;;;;
411;ArduPilot/apm_planner;775;https://github.com/ArduPilot/apm_planner/pull/775;Update MAVLink library for APM 3 3;FALSE;NO;;;;;
412;ArduPilot/apm_planner;954;https://github.com/ArduPilot/apm_planner/pull/954;Added docker file for issue 953;FALSE;NO;;;;;
413;simbody/simbody;25;https://github.com/simbody/simbody/pull/25;Automated testing using Travis CI;TRUE;NO;;;;;
414;simbody/simbody;200;https://github.com/simbody/simbody/pull/200;travis CMake not needed on OSX;TRUE;NO;;;;;
415;simbody/simbody;202;https://github.com/simbody/simbody/pull/202;SimbodyConfig cmake says where SimbodyDoxygenTagfile is;TRUE;NO;;;;;
416;simbody/simbody;269;https://github.com/simbody/simbody/pull/269;Support appveyor testing;TRUE;NO;;;;;
417;simbody/simbody;286;https://github.com/simbody/simbody/pull/286;Add feedback in Travis builds about tab check when successful or not performed;TRUE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
418;simbody/simbody;339;https://github.com/simbody/simbody/pull/339;SimbodyConfig cmake allows relocation of installation;TRUE;YES;NO;Build Maintainability_Absolute/machine-dependent paths are used;;;Maintainability_Replace tools/methods for accomplishing a specific task
419;simbody/simbody;417;https://github.com/simbody/simbody/pull/417;Add NullOnCopyUniquePtr and regression tests;TRUE;NO;;;;;
420;simbody/simbody;445;https://github.com/simbody/simbody/pull/445;Upload binaries from travis to bintray;TRUE;NO;;;;;
421;simbody/simbody;481;https://github.com/simbody/simbody/pull/481;Added second AppVeyor job for CI testing of OpenSim on 32 bit;TRUE;YES;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;Build Process Organization_Add new build matrix environment
422;simbody/simbody;551;https://github.com/simbody/simbody/pull/551;Add coverage status of simbody with gcov and codecov io;TRUE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
423;simbody/simbody;615;https://github.com/simbody/simbody/pull/615;travis Comment out osx_image line;TRUE;NO;;;;;
424;simbody/simbody;698;https://github.com/simbody/simbody/pull/698;Continuous integration using GitHub Actions;TRUE;NO;;;;;
425;simbody/simbody;421;https://github.com/simbody/simbody/pull/421;travis Use Travis CI s container based infrastructure;FALSE;NO;;;;;
426;ompl/ompl;89;https://github.com/ompl/ompl/pull/89;Dockerized Travis build;TRUE;NO;;;;;
427;ompl/ompl;96;https://github.com/ompl/ompl/pull/96;Flann CMakeModule needs to include libs in 1 1 1;FALSE;YES;NO;Build Dependencies Management;;;Build Policy_Change the dependencies' installation policy
428;ros-planning/navigation2;159;https://github.com/ros-planning/navigation2/pull/159;Fix dockerfile for new repo structure;TRUE;NO;;;;;
429;ros-planning/navigation2;205;https://github.com/ros-planning/navigation2/pull/205;Build CI using ros2 master nightly build;TRUE;YES;NO;"Build Duration_Build time for the ""commit stage"" overcomes the 10-minutes rule";;;Maintainability_Replace tools/methods for accomplishing a specific task
430;ros-planning/navigation2;237;https://github.com/ros-planning/navigation2/pull/237;Dockerfile update to fix build fails;TRUE;NO;;;;;
431;ros-planning/navigation2;244;https://github.com/ros-planning/navigation2/pull/244;Update gazebo_ros_pkgs branch to ros2;TRUE;NO;;;;;
432;ros-planning/navigation2;388;https://github.com/ros-planning/navigation2/pull/388;Amcl integration test;TRUE;NO;;;;;
433;ros-planning/navigation2;368;https://github.com/ros-planning/navigation2/pull/368;Add top level system test;TRUE;YES;NO;;Flaky Behaviour_Interaction between different features;Flakiness_Retry;
434;ros-planning/navigation2;458;https://github.com/ros-planning/navigation2/pull/458;Getting Build Farm CI on track;TRUE;YES;NO;Build Dependencies Management;;;Build Policy_Change the dependencies' installation policy
435;ros-planning/navigation2;437;https://github.com/ros-planning/navigation2/pull/437;Use new ros2 branch of the BehaviorTree CPP library;TRUE;NO;;;;;
436;ros-planning/navigation2;475;https://github.com/ros-planning/navigation2/pull/475;Fix Travis build remove gazebo_ros_pkgs dependency;TRUE;NO;;;;;
437;ros-planning/navigation2;139;https://github.com/ros-planning/navigation2/pull/139;Adding time delays to launch script;TRUE;NO;;;;;
438;ros-planning/navigation2;513;https://github.com/ros-planning/navigation2/pull/513;uploading and tagging docker images to pull;TRUE;NO;;;;;
439;ros-planning/navigation2;553;https://github.com/ros-planning/navigation2/pull/553;Adding code coverage report to build;TRUE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
439;ros-planning/navigation2;553;https://github.com/ros-planning/navigation2/pull/553;Adding code coverage report to build;TRUE;YES;NO;Build Process Definition_Monolithic builds (i.e., builds not decomposed into specific, cohesive jobs, when this is appropriate) are used in the pipeline;;;Maintainability_Split build scripts/jobs
440;ros-planning/navigation2;598;https://github.com/ros-planning/navigation2/pull/598;Adding retries to dynamic params test;TRUE;YES;NO;;Flaky Behaviour_Interaction between different features;Flakiness_Retry;
441;ros-planning/navigation2;670;https://github.com/ros-planning/navigation2/pull/670;Enable Behavior Tree navigator with recovery and retry;TRUE;NO;;;;;
442;ros-planning/navigation2;693;https://github.com/ros-planning/navigation2/pull/693;Default to a release build if unspecified;TRUE;NO;;;;;
443;ros-planning/navigation2;797;https://github.com/ros-planning/navigation2/pull/797;Remove apt key from Dockerfile;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;
444;ros-planning/navigation2;843;https://github.com/ros-planning/navigation2/pull/843;Use_sim_time missing from a couple nodes in the params file;TRUE;YES;YES;;Simulators_Real-Time Properties;;
445;ros-planning/navigation2;606;https://github.com/ros-planning/navigation2/pull/606;Adding a docker file to help test for missing package xml dependencies;TRUE;NO;;;;;
446;ros-planning/navigation2;962;https://github.com/ros-planning/navigation2/pull/962;Build tools Run build_all sh from any nested repo workspace rename dependencies workspace for nav autocomplete;TRUE;NO;;;;;
447;ros-planning/navigation2;1088;https://github.com/ros-planning/navigation2/pull/1088;Update to latest v2 BT Library;TRUE;NO;;;;;
448;ros-planning/navigation2;1118;https://github.com/ros-planning/navigation2/pull/1118;Refactored launch files;TRUE;NO;;;;;
449;ros-planning/navigation2;1122;https://github.com/ros-planning/navigation2/pull/1122;Cache per packge xml via multistage build;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
450;ros-planning/navigation2;1146;https://github.com/ros-planning/navigation2/pull/1146;multirobot Part 1 Spawn multiple robots into Gazebo;TRUE;NO;;;;;
451;ros-planning/navigation2;1176;https://github.com/ros-planning/navigation2/pull/1176;Wait recovery;TRUE;NO;;;;;
452;ros-planning/navigation2;1119;https://github.com/ros-planning/navigation2/pull/1119;Build navigation2 in the same workspace as ROS2;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
453;ros-planning/navigation2;1243;https://github.com/ros-planning/navigation2/pull/1243;Refactor System Tests;TRUE;NO;;;;;
454;ros-planning/navigation2;1287;https://github.com/ros-planning/navigation2/pull/1287;Cause build output to be sent to screen to prevent Travis timeouts;TRUE;YES;NO;Build Duration_Time-out is not properly configured;;;
455;ros-planning/navigation2;1249;https://github.com/ros-planning/navigation2/pull/1249;Turtlebot 3 Waffle Gazebo model with ROS2 depth camera plugin;TRUE;NO;;;;;
456;ros-planning/navigation2;1313;https://github.com/ros-planning/navigation2/pull/1313;Script to run the thread and address sanitizers;TRUE;NO;;;;;
457;ros-planning/navigation2;1045;https://github.com/ros-planning/navigation2/pull/1045;Planner interface and action interface for local planners;TRUE;NO;;;;;
458;ros-planning/navigation2;1425;https://github.com/ros-planning/navigation2/pull/1425;Dependency test related fixes needed for eloquent release;TRUE;YES;NO;Build Maintainability_Missing smoke test (tests to verify the testability of the build);;;Build Process Organization_Add/Evolve smoke test
459;ros-planning/navigation2;1510;https://github.com/ros-planning/navigation2/pull/1510;Remove OpenSplice test jobs;TRUE;NO;;;;;
460;ros-planning/navigation2;1509;https://github.com/ros-planning/navigation2/pull/1509;Fixing system tests in CI;TRUE;YES;YES;;Flaky Behaviour_Interaction between different features;;
461;ros-planning/navigation2;1573;https://github.com/ros-planning/navigation2/pull/1573;Is transform available BT condition node plugin;TRUE;NO;;;;;
462;ros-planning/navigation2;1691;https://github.com/ros-planning/navigation2/pull/1691;Add ignoring code cov any files named test_;TRUE;NO;;;;;
463;ros-planning/navigation2;1684;https://github.com/ros-planning/navigation2/pull/1684;Update CI for ROS2 Foxy;TRUE;NO;;;;;
464;ros-planning/navigation2;1728;https://github.com/ros-planning/navigation2/pull/1728;Fix uninitialized variable warnings and change default value;TRUE;NO;;;;;
465;ros-planning/navigation2;1760;https://github.com/ros-planning/navigation2/pull/1760;Re enable nightly debug builds for codecov;TRUE;YES;NO;Build Execution_Tasks are not properly distributed among different build stages (e.g., load testing is done in the commit stage);;;
466;ros-planning/navigation2;1806;https://github.com/ros-planning/navigation2/pull/1806;Replace eloquent with foxy in the install scripts;TRUE;NO;;;;;
467;ros-planning/navigation2;1835;https://github.com/ros-planning/navigation2/pull/1835;attempt to resolve issues with mixins in CI;TRUE;NO;;;;;
468;ros-planning/navigation2;1808;https://github.com/ros-planning/navigation2/pull/1808;Refactor parameter interface for plugins;TRUE;NO;;;;;
469;ros-planning/navigation2;1934;https://github.com/ros-planning/navigation2/pull/1934;Cleanup CircleCI config;TRUE;YES;NO;Build Duration_Unneeded tasks are scheduled in the build process;;;Performance_Remove Unneeded environments/scripts/tasks
470;ros-planning/navigation2;1956;https://github.com/ros-planning/navigation2/pull/1956;Trigger Dockerhub from cron job rather than Autobuild;TRUE;YES;NO;Build Execution_Build steps are not properly ordered (e.g., static analysis could precede testing to avoid failing it very late);;;Build Policy_Modify the triggering strategy
471;ros-planning/navigation2;1900;https://github.com/ros-planning/navigation2/pull/1900;Fix memory leak;TRUE;NO;;;;;
472;ros-planning/navigation2;2034;https://github.com/ros-planning/navigation2/pull/2034;WIP fixing CI changing gazebo base to my fork for testing;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
473;ros-planning/navigation2;2037;https://github.com/ros-planning/navigation2/pull/2037;Reverting to ros simulation from stevemacenski after patch merged;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Add better simulators;
474;ros-planning/navigation2;1942;https://github.com/ros-planning/navigation2/pull/1942;Update Dockerfiles and CI;TRUE;NO;;;;;
475;ros-planning/navigation2;2115;https://github.com/ros-planning/navigation2/pull/2115;Revert bond core to ros2 from my fork after merging fix;TRUE;NO;;;;;
476;ros-planning/navigation2;2170;https://github.com/ros-planning/navigation2/pull/2170;attempt at bringing up CI 2158;TRUE;YES;NO;;Flaky Behaviour_Netowork Issues;Flakiness_Fix the code;
477;ros-planning/navigation2;2172;https://github.com/ros-planning/navigation2/pull/2172;CI resolution Part 3;TRUE;YES;YES;;Flaky Behaviour_Lack of control over resources;Resources_Change simulator settings;
478;ros-planning/navigation2;2258;https://github.com/ros-planning/navigation2/pull/2258;Reduce RAM usage in CI;TRUE;YES;YES;;Flaky Behaviour_Lack of control over resources;;
